FileHandle,SoluteName,SMILES,InChI,Sol,RB,MW
0175odi,"1,2-dichlorobenzene",c1(c(cccc1)Cl)Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-6.01,0,145.9690055
0187dib,p-dibromobenzene,c1(ccc(cc1)Br)Br,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-7.47,0,233.8679743
0239oct,2-octanone,C(CC(=O)C)CCCC,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",-6.38,5,128.1201151
0414dcl,"2,2'-dichlorobiphenyl",Clc1ccccc1c1ccccc1Cl,InChI=1S/C12H8Cl2/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8H,-9.41,1,222.0003056
0001met,methane,C,InChI=1S/CH4/h1H4,0.51,0,16.03130013
0002eth,ethane,CC,InChI=1S/C2H6/c1-2/h1-2H3,-0.64,0,30.04695019
0010met,2-methylpropane,CC(C)C,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-1.45,0,58.07825032
0011dim,"2,2-dimethylpropane",C(C)(C)(C)C,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",-1.74,0,72.09390038
0016cyc,cyclopropane,C1CC1,InChI=1S/C3H6/c1-2-3-1/h1-3H2,-1.6,0,42.04695019
0017cyc,cyclopentane,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,-2.65,0,70.07825032
0019met,methylcyclohexane,C1(CCCCC1)C,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",-3.21,0,98.10955045
0021eth,ethene,C=C,InChI=1S/C2H4/c1-2/h1-2H2,-0.27,0,28.03130013
0022pro,propene,C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",-1.14,0,42.04695019
0023str,"s-trans-1,3-butadiene",C(=C)C=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",-2.1,1,54.04695019
0029hex,1-hexene,C=CCCCC,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",-2.94,3,84.09390038
0030eth,ethyne,C#C,InChI=1S/C2H2/c1-2/h1-2H,-0.51,0,26.01565006
0031pro,propyne,C#CC,"InChI=1S/C3H4/c1-3-2/h1H,2H3",-1.59,0,40.03130013
0033pen,1-pentyne,C(CC)C#C,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",-2.79,1,68.06260026
0034hex,1-hexyne,C#CCCCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",-3.43,2,82.07825032
0060dim,dimethylether,O(C)C,InChI=1S/C2H6O/c1-3-2/h1-2H3,-2.06,0,46.04186481
0061tet,tetrahydrofuran,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,-3.93,0,72.05751488
0066dim,"1,2-dimethoxyethane",C(COC)OC,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",-4.55,3,90.06807956
0072but,butanal,C(CC)C=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",-4.62,2,72.05751488
0091met,methylformate,O=COC,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",-2.82,1,60.02112937
0096met,methylbutanoate,C(CC(=O)OC)C,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",-4.59,2,102.0680796
0127pro,propionitrile,C(#N)CC,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",-3.66,0,55.04219916
0128butb,butanonitrile,C(#N)CCC,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",-4.25,1,69.05784922
0130nit,nitroethane,N(=O)(=O)CC,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",-3.93,1,75.0320284
0132nit,2-nitropropane,N(=O)(=O)C(C)C,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",-4.23,1,89.04767846
0133nit,1-nitrobutane,C(CCN(=O)=O)C,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3",-5.11,3,103.0633285
0141dim,dimethyldisulfide,S(SC)C,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,-4.24,1,93.99109219
0161dic,dichloromethane,ClCCl,InChI=1S/CH2Cl2/c2-1-3/h1H2,-3.07,0,83.95335542
0163chl,chloroethane,ClCC,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",-2.58,0,64.00797784
0166tri,"1,1,2-trichloroethane",C(CCl)(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",-4.53,1,131.9300331
0167chla,1-chloropropane,C(CC)Cl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",-3.06,1,78.0236279
0168chl,2-chloropropane,CC(C)Cl,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",-2.84,0,78.0236279
0171Zdi,"Z-1,2-dichloroethene",C(=C\Cl)\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,-3.71,0,95.95335542
0172Edi,"E-1,2-dichloroethene",C(=C\Cl)/Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,-3.61,0,95.95335542
0178dib,dibromomethane,BrCBr,InChI=1S/CH2Br2/c2-1-3/h1H2,-4.18,0,171.8523243
0182bro,1-bromopropane,CCCBr,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",-3.42,1,121.9731123
0183bro,2-bromopropane,C(Br)(C)C,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",-3.4,0,121.9731123
0184bro,1-bromobutane,CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",-4.16,2,135.9887624
0185bro,1-bromopentane,C(CCC)CBr,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",-4.68,3,150.0044125
0201bro,"1-bromo-1-chloro-2,2,2-trifluoroethane",C([C@@H](Cl)Br)(F)(F)F,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m1/s1",-3.27,0,195.8902245
0204tet,tetrachloroethene,C(=C(Cl)Cl)(Cl)Cl,InChI=1S/C2Cl4/c3-1(4)2(5)6,-4.24,0,163.8754107
0206tri,"1,1,2-trichloro-1,2,2-trifluoroethane",C(C(Cl)(F)F)(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",-2.54,1,185.9017677
0210dic,"1,1-dichloro-2,2-difluoroethylmethylether",C(C(Cl)Cl)(OC)(F)F,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3",-4.02,2,163.9607265
0400hyd,hydrogen,[H][H],InChI=1S/H2/h1H,1.76,0,2.015650064
0417brp,3-bromopropene,C(C=C)Br,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2",-3.3,1,119.9574623
0419brt,bromotoluene,c1(ccccc1)CBr,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",-6.36,1,169.9731123
0574eth,4-ethylpyridine,c1cnccc1CC,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",-7.8,1,107.0734993
0939tet,tetramethylsilane,[Si](C)(C)(C)C,"InChI=1S/C4H12Si/c1-5(2,3)4/h1-4H3",-1.79,0,88.07082691
test4002,diiodomethane,C(I)I,InChI=1S/CH2I2/c2-1-3/h1H2,-5.63,0,267.8245961
test4004,iodoethane,C(I)C,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3",-3.45,0,155.9435982
0109pip,piperazine,C1CNCCN1,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",-5.8,0,86.08439832
0517met,N-methylformamide,C(=O)NC,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",-6.97,1,59.03711378
0064met,methylpropylether,O(C)CCC,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3",-3.63,2,74.07316494
0065met,methylisopropylether,COC(C)C,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",-4.64,1,74.07316494
0067but,t-butylmethylether,O(C(C)(C)C)C,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",-3.49,0,88.088815
0152eth,3-ethyl-2-methoxypyrazine,c1(nccnc1OC)CC,"InChI=1S/C7H10N2O/c1-3-6-7(10-2)9-5-4-8-6/h4-5H,3H2,1-2H3",-6.85,2,138.0793129
0154dif,"1,1-difluoroethane",C(C)(F)F,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",-1.13,0,66.02810657
0177bro,bromomethane,BrC,InChI=1S/CH3Br/c1-2/h1H3,-2.43,0,93.9418122
0197bro,bromotrifluoromethane,BrC(F)(F)F,"InChI=1S/CBrF3/c2-1(3,4)5",-0.75,0,147.9135468
0199chl,chlorodifluoromethane,C(Cl)(F)F,InChI=1S/CHClF2/c2-1(3)4/h1H,-1.97,0,85.97348415
0200tet,tetrafluoromethane,C(F)(F)(F)F,"InChI=1S/CF4/c2-1(3,4)5",1.5,0,87.99361288
0211tri,"1,1,1-trifluoropropan-2-ol",O[C@H](C)C(F)(F)F,"InChI=1S/C3H5F3O/c1-2(7)3(4,5)6/h2,7H,1H3/t2-/m1/s1",-5.12,0,114.0292494
0212hex,"1,1,1,3,3,3-hexafluoropropan-2-ol",OC(C(F)(F)F)C(F)(F)F,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",-5.76,0,168.000984
0415dcl,"2,3-dichlorobiphenyl",Clc1cccc(c1Cl)c1ccccc1,InChI=1S/C12H8Cl2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8H,-9.23,1,222.0003056
0416dcl,"2,2',3'-trichlorobiphenyl",Clc1cccc(c1Cl)c1ccccc1Cl,InChI=1S/C12H7Cl3/c13-10-6-2-1-4-8(10)9-5-3-7-11(14)12(9)15/h1-7H,-9.12,1,255.9613333
0426dcl,"2,6-dichlorobenzonitrile",Clc1cccc(Cl)c1C#N,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,-9.18,0,170.9642545
0428ami,"4-amino-3,5,6-trichloropyridine-2-carboxylicacid",c1(c(Cl)c(Cl)nc(C(=O)O)c1Cl)N,"InChI=1S/C6H3Cl3N2O2/c7-1-3(10)2(8)5(9)11-4(1)6(12)13/h(H2,10,11)(H,12,13)",-12.37,1,239.9260104
0437pho,methyl3-methyl-4-thiomethoxyphenylthiophosphate,CO[P@](O)(Oc1ccc(c(c1)C)SC)[S],"InChI=1S/C9H13O3PS2/c1-7-6-8(4-5-9(7)15-3)12-13(10,14)11-2/h4-6H,1-3H3,(H,10,14)/t13-/m1/s1",-12.55,4,264.0043729
0438pho,"diethyl2,4-dichlorophenylthiophosphate",C(C)OP(Oc1ccc(Cl)cc1Cl)(OCC)[S],"InChI=1S/C10H14Cl2O3PS/c1-3-13-16(17,14-4-2)15-10-6-5-8(11)7-9(10)12/h5-7,16H,3-4H2,1-2H3",-10.87,6,314.9778323
0442pho,O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate,C(CC)S[P@@](=O)(Oc1c(Cl)cc(cc1)Br)OCC,"InChI=1S/C11H15BrClO3PS/c1-3-7-18-17(14,15-4-2)16-11-6-5-9(12)8-10(11)13/h5-6,8H,3-4,7H2,1-2H3/t17-/m1/s1",-10.49,7,371.9351417
0444pho,"dimethyl2,4,5-trichlorophenylthiophosphate",c1(cc(c(cc1Cl)Cl)Cl)OP(OC)(OC)[S],"InChI=1S/C8H9Cl3O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15H,1-2H3",-11.69,4,320.9075598
0445pho,"dimethyl4-bromo-2,5-dichlorophenylthiophosphate",COP(Oc1c(Cl)cc(c(Cl)c1)Br)(OC)[S],"InChI=1S/C8H9BrCl2O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15H,1-2H3",-12.3,4,364.8570442
0449pho,ethyl4-cyanophenylphenylthiophosphonate,C(C)O[P@](c1ccccc1)(Oc1ccc(C#N)cc1)[S],"InChI=1S/C15H14NO2PS/c1-2-17-19(20,15-6-4-3-5-7-15)18-14-10-8-13(12-16)9-11-14/h3-11H,2H2,1H3/t19-/m1/s1",-11.06,5,303.0482863
n005,methylhydrazine,N(N)C,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",-3.88,0,46.05309819
n185,2-pyrrolidinone,C1C(=O)NCC1,"InChI=1S/C4H7NO/c6-4-2-1-3-5-4/h1-3H2,(H,5,6)",-8.85,0,85.05276384
n201,5-trifluoromethyluracil,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)",-15.51,0,180.014662
n202,5-chlorouracil,c1c(c(=O)[nH]c(=O)[nH]1)Cl,"InChI=1S/C4H3ClN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-17.26,0,145.988305
test1035,"1,2,3,4,5,6-hexachlorocyclohexane(lindane)",[C@@H]1(Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",-10.71,0,287.8600663
test2001,acetylsalicylicacid,c1ccc(c(c1)C(=O)O)OC(=O)C,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",-11.56,2,180.0422587
test2003,butylparaben,c1cc(ccc1C(=O)OCCCC)O,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",-13.59,4,194.0942943
test2004,caffeine,c1nc2c(c(=O)n(c(=O)n2C)C)n1C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",-12.54,0,194.0803756
test2007,cyanuricacid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",-18.89,0,129.017441
test2010,diflunisal,c1cc(c(cc1c1ccc(cc1F)F)C(=O)O)O,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)",-15.46,2,250.0441506
test2011,ethylparaben,c1cc(ccc1C(=O)OCC)O,"InChI=1S/C9H10O3/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6,10H,2H2,1H3",-12.57,2,166.0629942
test2013,flurbiprofen(racemic),c1ccc(cc1)c1ccc(cc1F)[C@@H](C(=O)O)C,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)/t10-/m0/s1",-14.1,3,244.0899579
test2015,hexachlorobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,-10.15,0,281.8131161
test2017,ibuprofen(racemic),c1cc(ccc1CC(C)C)[C@@H](C(=O)O)C,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m0/s1",-12.42,4,206.1306798
test2018,5-iodouracil,c1c(c(=O)[nH]c(=O)[nH]1)I,"InChI=1S/C4H3IN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",-18.77,0,237.9239253
test2019,ketoprofen(racemic),c1ccc(cc1)C(=O)c1cccc(c1)[C@@H](C(=O)O)C,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/t11-/m0/s1",-15.04,4,254.0942943
test2020,methylparaben,c1cc(ccc1C(=O)OC)O,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3",-12.18,1,152.0473441
test2021,naproxen,c1cc(cc2ccc(cc12)OC)[C@@H](C(=O)O)C,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1",-14.55,3,230.0942943
test2022,4-nitroaniline,c1cc(ccc1N)N(=O)=O,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",-11.35,1,138.0429274
test2023,octafluorocyclobutane,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,"InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10",0.31,0,199.9872258
test2024,pentachloronitrobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9,-11.55,1,292.8371666
test2025,phthalimide,c1ccc2c(c1)C(=O)NC2=O,"InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h1-4H,(H,9,10,11)",-11.18,0,147.0320284
test2026,propylparaben,c1cc(ccc1C(=O)OCCC)O,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",-13.52,3,180.0786442
test2027,sulfolane,C1CCS(=O)(=O)C1,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,-7.56,0,120.0245005
test3001,paracetamol,O=C(Nc1ccc(cc1)O)C,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",-15.46,1,151.0633285
test3002,N-(3-hydroxyphenyl)acetamide,O=C(Nc1cccc(c1)O)C,"InChI=1S/C8H9NO2/c1-6(10)9-7-3-2-4-8(11)5-7/h2-5,11H,1H3,(H,9,10)",-14.93,1,151.0633285
test3003,fenbufen,c1cccc(c1)c1ccc(cc1)C(=O)CCC(=O)O,"InChI=1S/C16H14O3/c17-15(10-11-16(18)19)14-8-6-13(7-9-14)12-4-2-1-3-5-12/h1-9H,10-11H2,(H,18,19)",-17.12,5,254.0942943
test3004,N-(2-hydroxyphenyl)acetamide,O=C(Nc1ccccc1O)C,"InChI=1S/C8H9NO2/c1-6(10)9-7-4-2-3-5-8(7)11/h2-5,11H,1H3,(H,9,10)",-12.59,1,151.0633285
test3005,phenacetin,CCOc1ccc(NC(=O)C)cc1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",-13.07,3,179.0946287
test3007,2-methoxybenzoicacid,C(=O)(c1c(cccc1)OC)O,"InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)",-12.49,2,152.0473441
test3014,4-methoxybenzoicacid,C(=O)(c1ccc(cc1)OC)O,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",-11.82,2,152.0473441
test3015,3-methoxybenzoicacid,C(=O)(c1cc(ccc1)OC)O,"InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)",-11.69,2,152.0473441
test3019,tolfenamicacid,Cc1c(cccc1Cl)Nc1ccccc1C(=O)O,"InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18)",-13.76,3,261.0556563
test3020,diclofenacacid,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",-12.45,4,295.016684
test3021,flufenamicacid,OC(=O)c1ccccc1Nc1cc(ccc1)C(F)(F)F,"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)",-12.84,3,281.0663632
test4009,2-iodopropane,CC(C)I,"InChI=1S/C3H7I/c1-3(2)4/h3H,1-2H3",-4.4,0,169.9592482